Kelas,Time (1 Node),F1 Score (1 Node),Biaya (1 Node),Time (2 Node),F1 Score (2 Node),Biaya (2 Node),Time (3 Node),F1 Score (3 Node),Biaya (3 Node),Time (4 Node),F1 Score (4 Node),Biaya (4 Node)
2,203.21,0.908,1.100915576,204.13,0.9071,1.223043251,198.31,0.9078,1.188172768,194.74,0.9074,1.166783141
3,177.76,0.9046,0.96303702,171.48,0.9049,1.027421039,168.21,0.9048,1.00782886,161.67,0.9039,0.9686445027
5,179.21,0.7037,0.9708925763,168.48,0.7038,1.009446563,161.06,0.7039,0.9649896926,150.64,0.7102,0.9025583465
7,207.03,0.7154,1.121610904,180.96,0.7134,1.084220382,175.66,0.7137,1.052465475,161.29,0.7128,0.9663677357
